tag_id,tag_name,hit_count
619,depresif duygudurum,229
66,anksiyete,226
753,başkası hakkında,157
159,ilişki sorunları,156
169,evlilik ve çift sorunları,144
46,majör depresif bozukluk,134
155,intihar fikirleri,125
247,sosyal anksiyete,103
281,ilaçla tedavi,89
419,anhedoni,88
618,yalnızlık hissi,86
80,takıntılar (obsesyonlar),81
171,aldatma-aldatılma,80
343,mutsuzluk,77
224,ağlama,75
145,travma,75
54,obsesif kompulsif bozukluk,69
105,özgüven eksikliği,64
178,değersizlik duyguları,61
102,uyku-uyanıklık bozuklukları,59
470,sosyal anksiyete bozukluğu,59
389,öfke kontrol sorunları,58
685,ebeveynle ilişkiler,56
597,aile içi ilişkiler,54
559,öfke,54
220,güvensizlik duyguları,47
496,ergenlik çağı sorunları,44
437,umutsuzluk,43
342,tükenmişlik duyguları,43
933,sinirlilik,42
258,çaresizlik duyguları,41
62,genel anksiyete bozukluğu,41
156,intihar girişimleri,41
97,panik bozukluk,40
307,somatoform şikayetler,40
53,panik atak,39
117,yorgunluk-bitkinlik,39
254,konsantrasyon güçlüğü,39
522,sevgiliden ayrılma,38
312,aile bireylerinde psikiyatrik sorun,37
287,ilaçların yan etkileri,37
1045,eşler arasında iletişim sorunları,37
676,iletişim sorunları,36
716,ilişkide aileler,36
521,duygudurum dalgalanmaları,36
651,arkadaşsızlık,35
383,okulla ilgili sorunlar,34
497,aile içinde fiziksel şiddet,33
314,ayrılık anksiyetesi,33
600,ilişkide güvensizlik,33
236,şüphecilik (paranoya),33
170,evlilikte cinsellik,33
164,gelecek kaygısı,33
665,huzursuz aile ortamı,33
773,yetişkinde bağlanma sorunları,33
249,pişmanlık,32
185,arkadaşlık ilişkileri,31
588,yakının kaybı,31
617,kendine zarar verme davranışları,31
225,yetersizlik duyguları,30
140,deperzonalizasyon-derealizasyon bozukluğu,30
147,psikoterapi,30
777,yakınlık ve ilgi gereksinimi,30
706,içe kapanıklık,29
234,kıskançlık,29
615,sınav kaygısı,29
279,psikosomatik şikayetler,29
505,boşanmış ailede çocuklar,28
210,suçluluk duyguları,28
285,dissosiyasyon,27
593,terk edilme,27
1135,ilaçlardan yeteri fayda görmeme,27
562,ebeveynle çatışma,26
368,ilacı bırakma,26
499,irritabilite,26
47,bipolar bozukluk,26
58,özgül fobi,25
231,boşanma,24
540,borderline örüntüler,24
1002,ebeveyn çocuk ilişkisi,24
945,arkadaşlık ilişkilerinde sorunlar,23
751,kötümserlik-karamsarlık,23
81,borderline bozukluk,23
246,sosyal izolasyon,22
260,işsizlik,22
192,boşluk duygusu,22
512,içsel konuşmalar,22
587,uyuyamama,22
743,ilişkide kıskançlık,22
715,kardeşler arası ilişkiler,22
846,ilişkide kopamamak,22
884,ne yapacağını bilememek,22
536,ücretsiz psikoterapi,21
628,ebeveyn baskısı,21
391,özsaygı eksikliği,21
230,aile baskısı,21
243,kendini başkalarıyla kıyaslama,20
76,çekingenlik,20
148,yeme bozuklukları,20
1121,insan ilişkilerinde sorunlar,20
711,sosyal medyada ilişkiler,20
787,ilişkide şüphe,19
1252,eşin ailesi ile ilişkiler,19
718,romantik ilişkiler,18
978,tahammülsüzlük,18
816,özgüven kaybı,18
